title,soldprice,solddate,bids,link
Sony A7RIII Mirrorless Digital Camera 42.4MP - Boxed with Extras,1336.0,Sold  26 Nov 2020,15 bids,https://www.ebay.co.uk/itm/Sony-A7RIII-Mirrorless-Digital-Camera-42-4MP-Boxed-with-Extras/333791711542?hash=item4db7895136%3Ag%3A8UQAAOSwDPtfstNd&LH_Auction=1
"Sony Alpha A7 III 24.2 MP Digital Camera Body Faulty, Parts/ Spares/ Repair",620.0,Sold  26 Nov 2020,48 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7-III-24-2-MP-Digital-Camera-Body-Faulty-Parts-Spares-Repair/402559208813?epid=4033519120&hash=item5dba660d6d%3Ag%3AFnYAAOSw2OlfsqQH&LH_Auction=1
"Sony a7sii 4K Digital Camera BUNDLE with 28-70mm kit lens, Sony grip + batteries",1200.0,Sold  26 Nov 2020,4 bids,https://www.ebay.co.uk/itm/Sony-a7sii-4K-Digital-Camera-BUNDLE-with-28-70mm-kit-lens-Sony-grip-batteries/284090412980?hash=item42251bafb4%3Ag%3AXbQAAOSwEVhfuqCo&LH_Auction=1
Sony Alpha A7 Full Frame Camera 28-70mm kit lens and extras! Low shutter count,554.99,Sold  26 Nov 2020,28 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7-Full-Frame-Camera-28-70mm-kit-lens-and-extras-Low-shutter-count/114528621823?hash=item1aaa7014ff%3Ag%3AKG4AAOSwPHhftnMh&LH_Auction=1
Sony Alpha A7 24.3MP Digital Camera - Black (Body Only),271.64,Sold  26 Nov 2020,52 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7-24-3MP-Digital-Camera-Black-Body-Only/133581543570?epid=25027879603&hash=item1f1a149892%3Ag%3Aq9UAAOSwHBJfXcq5&LH_Auction=1
Sony Alpha A7 III 24.2 MP Digital Camera - Black + VG-C3EM Vertical Grip,1240.0,Sold  26 Nov 2020,10 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7-III-24-2-MP-Digital-Camera-Black-VG-C3EM-Vertical-Grip/284093116998?epid=4033519120&hash=item422544f246%3Ag%3ArgYAAOSwLYVfudPn&LH_Auction=1
Sony Alpha A7 24.3MP Digital Camera - Black (Body Only),315.0,Sold  25 Nov 2020,36 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7-24-3MP-Digital-Camera-Black-Body-Only/233780914985?epid=17027888448&hash=item366e6dab29%3Ag%3ADDsAAOSw-yNfr6HE&LH_Auction=1
Sony A7 II 24.3MP Camera Body Only.Used & in great condition 4008 Shutter Count,642.0,Sold  25 Nov 2020,21 bids,https://www.ebay.co.uk/itm/Sony-A7-II-24-3MP-Camera-Body-Only-Used-in-great-condition-4008-Shutter-Count/233781263276?epid=14027883825&hash=item366e72fbac%3Ag%3AK00AAOSwRkNfr%7E%7EE&LH_Auction=1
Sony Alpha A7R III 42.4MP Digital Camera - Black (Body Only) - Plus Extras,1500.0,Sold  25 Nov 2020,34 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7R-III-42-4MP-Digital-Camera-Black-Body-Only-Plus-Extras/143850341412?epid=26027889595&hash=item217e260424%3Ag%3AijkAAOSwKFhftUfP&LH_Auction=1
"Sony Alpha A7R  Mirrorless Camera Full Frame - E Mount - Only 10,441 Shots -WiFi",441.1,Sold  25 Nov 2020,42 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7R-Mirrorless-Camera-Full-Frame-E-Mount-Only-10-441-Shots-WiFi/393027443945?hash=item5b8242dce9%3Ag%3AzJkAAOSw5MFftm00&LH_Auction=1
